;2009;2010;2011;2012;2013;2014;2015
Austria;15.03;15.44;15.83;16.96;17.97;16.25;16.54
Belgium;17.26;19.30;18.54;18.19;18.74;17.58;18.69
Croatia;16.43;18.79;20.47;20.89;20.87;21.80;20.98
Czech Republic;13.97;15.27;14.97;15.62;16.52;16.98;16.68
Estonia;22.32;22.07;18.61;19.32;19.97;35.65;28.01
Finland;14.56;14.41;14.19;16.98;15.98;17.34;23.09
France;12.36;12.67;12.32;14.50;15.38;16.35;17.10
Germany;14.82;16.10;16.40;17.90;19.16;17.96;18.26
Greece;11.73;12.26;;9.57;13.51;14.07;16.52
Ireland;12.78;14.47;18.92;19.24;20.50;22.68;24.37
Italy;11.65;12.07;12.68;13.42;13.70;14.30;14.79
Latvia;13.72;13.91;16.53;16.74;18.05;19.71;21.82
Lithuania;12.87;14.83;14.24;15.65;17.57;21.29;24.83
Luxembourg;19.21;17.38;16.35;19.05;20.88;20.24;21.74
Netherlands;14.91;13.91;13.48;14.23;14.89;17.95;20.11
Portugal;10.54;10.33;9.80;12.64;13.31;12.37;13.51
Slovak Republic;12.57;12.73;13.41;15.71;16.49;17.35;17.77
Slovenia;11.69;11.32;11.85;11.40;13.67;18.04;18.77
Spain;12.22;11.87;12.11;11.59;13.28;13.68;14.66
