"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","MLN_USD","A","1960",25051.8599,
"AUS","GDP","TOT","MLN_USD","A","1961",25350.622,
"AUS","GDP","TOT","MLN_USD","A","1962",27939.3689,
"AUS","GDP","TOT","MLN_USD","A","1963",30415.7953,
"AUS","GDP","TOT","MLN_USD","A","1964",32726.9366,
"AUS","GDP","TOT","MLN_USD","A","1965",34515.4227,
"AUS","GDP","TOT","MLN_USD","A","1966",38314.9323,
"AUS","GDP","TOT","MLN_USD","A","1967",41032.1326,
"AUS","GDP","TOT","MLN_USD","A","1968",46526.8131,
"AUS","GDP","TOT","MLN_USD","A","1969",52174.3771,
"AUS","GDP","TOT","MLN_USD","A","1970",58973.452,
"AUS","GDP","TOT","MLN_USD","A","1971",64233.1338,
"AUS","GDP","TOT","MLN_USD","A","1972",69955.1712,
"AUS","GDP","TOT","MLN_USD","A","1973",79024.2034,
"AUS","GDP","TOT","MLN_USD","A","1974",86470.7094,
"AUS","GDP","TOT","MLN_USD","A","1975",96868.4561,
"AUS","GDP","TOT","MLN_USD","A","1976",104411.2448,
"AUS","GDP","TOT","MLN_USD","A","1977",110388.9811,
"AUS","GDP","TOT","MLN_USD","A","1978",123431.1407,
"AUS","GDP","TOT","MLN_USD","A","1979",138117.5903,
"AUS","GDP","TOT","MLN_USD","A","1980",155172.7408,
"AUS","GDP","TOT","MLN_USD","A","1981",178185.245,
"AUS","GDP","TOT","MLN_USD","A","1982",181944.932,
"AUS","GDP","TOT","MLN_USD","A","1983",196759.1857,
"AUS","GDP","TOT","MLN_USD","A","1984",211414.5121,
"AUS","GDP","TOT","MLN_USD","A","1985",229044.3451,
"AUS","GDP","TOT","MLN_USD","A","1986",240401.3637,
"AUS","GDP","TOT","MLN_USD","A","1987",261490.2704,
"AUS","GDP","TOT","MLN_USD","A","1988",283660.0695,
"AUS","GDP","TOT","MLN_USD","A","1989",300177.7638,
"AUS","GDP","TOT","MLN_USD","A","1990",304357.7149,
"AUS","GDP","TOT","MLN_USD","A","1991",314148.7614,
"AUS","GDP","TOT","MLN_USD","A","1992",334849.2336,
"AUS","GDP","TOT","MLN_USD","A","1993",356182.4699,
"AUS","GDP","TOT","MLN_USD","A","1994",381372.8826,
"AUS","GDP","TOT","MLN_USD","A","1995",405197.2748,
"AUS","GDP","TOT","MLN_USD","A","1996",425324.6896,
"AUS","GDP","TOT","MLN_USD","A","1997",450867.3965,
"AUS","GDP","TOT","MLN_USD","A","1998",477997.6375,
"AUS","GDP","TOT","MLN_USD","A","1999",510054.3583,
"AUS","GDP","TOT","MLN_USD","A","2000",539799.3782,
"AUS","GDP","TOT","MLN_USD","A","2001",568862.8296,
"AUS","GDP","TOT","MLN_USD","A","2002",599770.3593,
"AUS","GDP","TOT","MLN_USD","A","2003",636095.5758,
"AUS","GDP","TOT","MLN_USD","A","2004",675258.5873,
"AUS","GDP","TOT","MLN_USD","A","2005",719165.7998,
"AUS","GDP","TOT","MLN_USD","A","2006",774486.9906,
"AUS","GDP","TOT","MLN_USD","A","2007",826249.057,
"AUS","GDP","TOT","MLN_USD","A","2008",851398.3039,
"AUS","GDP","TOT","MLN_USD","A","2009",900317.3356,
"AUS","GDP","TOT","MLN_USD","A","2010",938600.7763,
"AUS","GDP","TOT","MLN_USD","A","2011",987220.3409,
"AUS","GDP","TOT","MLN_USD","A","2012",991827.7729,
"AUS","GDP","TOT","MLN_USD","A","2013",1098874.1937,
"AUS","GDP","TOT","MLN_USD","A","2014",1108212.3129,
"AUS","GDP","TOT","MLN_USD","A","2015",1131509.9125,
"AUS","GDP","TOT","USD_CAP","A","1960",2410.705614,
"AUS","GDP","TOT","USD_CAP","A","1961",2381.983106,
"AUS","GDP","TOT","USD_CAP","A","1962",2575.992707,
"AUS","GDP","TOT","USD_CAP","A","1963",2751.195773,
"AUS","GDP","TOT","USD_CAP","A","1964",2901.213828,
"AUS","GDP","TOT","USD_CAP","A","1965",2999.930356,
"AUS","GDP","TOT","USD_CAP","A","1966",3273.425566,
"AUS","GDP","TOT","USD_CAP","A","1967",3444.531661,
"AUS","GDP","TOT","USD_CAP","A","1968",3830.760277,
"AUS","GDP","TOT","USD_CAP","A","1969",4205.163584,
"AUS","GDP","TOT","USD_CAP","A","1970",4656.974483,
"AUS","GDP","TOT","USD_CAP","A","1971",4866.743779,
"AUS","GDP","TOT","USD_CAP","A","1972",5216.919137,
"AUS","GDP","TOT","USD_CAP","A","1973",5804.481169,
"AUS","GDP","TOT","USD_CAP","A","1974",6251.507154,
"AUS","GDP","TOT","USD_CAP","A","1975",6934.589544,
"AUS","GDP","TOT","USD_CAP","A","1976",7399.748617,
"AUS","GDP","TOT","USD_CAP","A","1977",7729.491023,
"AUS","GDP","TOT","USD_CAP","A","1978",8553.294625,
"AUS","GDP","TOT","USD_CAP","A","1979",9458.501626,
"AUS","GDP","TOT","USD_CAP","A","1980",10479.426175,
"AUS","GDP","TOT","USD_CAP","A","1981",11836.313279,
"AUS","GDP","TOT","USD_CAP","A","1982",11900.466294,
"AUS","GDP","TOT","USD_CAP","A","1983",12707.671812,
"AUS","GDP","TOT","USD_CAP","A","1984",13485.40596,
"AUS","GDP","TOT","USD_CAP","A","1985",14404.79195,
"AUS","GDP","TOT","USD_CAP","A","1986",14895.892227,
"AUS","GDP","TOT","USD_CAP","A","1987",15949.740552,
"AUS","GDP","TOT","USD_CAP","A","1988",16998.782021,
"AUS","GDP","TOT","USD_CAP","A","1989",17723.485459,
"AUS","GDP","TOT","USD_CAP","A","1990",17726.373173,
"AUS","GDP","TOT","USD_CAP","A","1991",18044.736212,
"AUS","GDP","TOT","USD_CAP","A","1992",19045.870169,
"AUS","GDP","TOT","USD_CAP","A","1993",20072.173492,
"AUS","GDP","TOT","USD_CAP","A","1994",21273.326012,
"AUS","GDP","TOT","USD_CAP","A","1995",22330.287527,
"AUS","GDP","TOT","USD_CAP","A","1996",23171.149447,
"AUS","GDP","TOT","USD_CAP","A","1997",24319.048889,
"AUS","GDP","TOT","USD_CAP","A","1998",25511.306756,
"AUS","GDP","TOT","USD_CAP","A","1999",26914.944018,
"AUS","GDP","TOT","USD_CAP","A","2000",28141.315245,
"AUS","GDP","TOT","USD_CAP","A","2001",29298.614135,
"AUS","GDP","TOT","USD_CAP","A","2002",30541.441367,
"AUS","GDP","TOT","USD_CAP","A","2003",32034.058154,
"AUS","GDP","TOT","USD_CAP","A","2004",33620.430433,
"AUS","GDP","TOT","USD_CAP","A","2005",35337.512378,
"AUS","GDP","TOT","USD_CAP","A","2006",37441.841045,
"AUS","GDP","TOT","USD_CAP","A","2007",39187.320539,
"AUS","GDP","TOT","USD_CAP","A","2008",39537.854494,
"AUS","GDP","TOT","USD_CAP","A","2009",41087.13637,
"AUS","GDP","TOT","USD_CAP","A","2010",42238.572578,
"AUS","GDP","TOT","USD_CAP","A","2011",43722.111795,
"AUS","GDP","TOT","USD_CAP","A","2012",43169.929137,
"AUS","GDP","TOT","USD_CAP","A","2013",47085.691618,
"AUS","GDP","TOT","USD_CAP","A","2014",46832.14112,
"AUS","GDP","TOT","USD_CAP","A","2015",47016.949742,"E"
"AUT","GDP","TOT","MLN_USD","A","1970",28542.36,"E"
"AUT","GDP","TOT","MLN_USD","A","1971",31525.1677,"E"
"AUT","GDP","TOT","MLN_USD","A","1972",34931.7248,"E"
"AUT","GDP","TOT","MLN_USD","A","1973",38632.8491,"E"
"AUT","GDP","TOT","MLN_USD","A","1974",43763.7098,"E"
"AUT","GDP","TOT","MLN_USD","A","1975",47643.6106,"E"
"AUT","GDP","TOT","MLN_USD","A","1976",52559.0834,"E"
"AUT","GDP","TOT","MLN_USD","A","1977",58654.9166,"E"
"AUT","GDP","TOT","MLN_USD","A","1978",62641.0044,"E"
"AUT","GDP","TOT","MLN_USD","A","1979",71445.0982,"E"
"AUT","GDP","TOT","MLN_USD","A","1980",79237.0259,"E"
"AUT","GDP","TOT","MLN_USD","A","1981",86509.778,"E"
"AUT","GDP","TOT","MLN_USD","A","1982",93724.4919,"E"
